dataset,config,seed,classifier,accuracy,macro_f1
CNS,NoSelection,0,SVM,0.6833,0.5931
CNS,NoSelection,0,KNN,0.6500,0.6347
CNS,NoSelection,0,NB,0.7000,0.6580
CNS,NoSelection,0,DT,0.6667,0.6262
CNS,NoSelection,0,RF,0.6000,0.4321
CNS,NoSelection,1,SVM,0.6167,0.5615
CNS,NoSelection,1,KNN,0.5667,0.5028
CNS,NoSelection,1,NB,0.5667,0.5291
CNS,NoSelection,1,DT,0.7167,0.6639
CNS,NoSelection,1,RF,0.5833,0.4203
CNS,NoSelection,2,SVM,0.6667,0.5990
CNS,NoSelection,2,KNN,0.6667,0.6406
CNS,NoSelection,2,NB,0.6500,0.5871
CNS,NoSelection,2,DT,0.6167,0.5962
CNS,NoSelection,2,RF,0.6333,0.4500
CNS,LongDE,0,SVM,0.5833,0.5209
CNS,LongDE,0,KNN,0.7167,0.6961
CNS,LongDE,0,NB,0.6000,0.5588
CNS,LongDE,0,DT,0.6167,0.5638
CNS,LongDE,0,RF,0.6333,0.4185
CNS,LongDE,1,SVM,0.6667,0.6374
CNS,LongDE,1,KNN,0.5833,0.5622
CNS,LongDE,1,NB,0.6167,0.5898
CNS,LongDE,1,DT,0.6333,0.6037
CNS,LongDE,1,RF,0.5833,0.4465
CNS,LongDE,2,SVM,0.6833,0.5978
CNS,LongDE,2,KNN,0.5500,0.5071
CNS,LongDE,2,NB,0.5500,0.4875
CNS,LongDE,2,DT,0.4667,0.4105
CNS,LongDE,2,RF,0.6167,0.4646
CNS,ShortDE,0,SVM,0.6333,0.5545
CNS,ShortDE,0,KNN,0.6833,0.6644
CNS,ShortDE,0,NB,0.6167,0.5867
CNS,ShortDE,0,DT,0.5500,0.5345
CNS,ShortDE,0,RF,0.6167,0.4515
CNS,ShortDE,1,SVM,0.7167,0.6953
CNS,ShortDE,1,KNN,0.6167,0.5831
CNS,ShortDE,1,NB,0.6167,0.5743
CNS,ShortDE,1,DT,0.5000,0.4549
CNS,ShortDE,1,RF,0.6000,0.4990
CNS,ShortDE,2,SVM,0.6667,0.6328
CNS,ShortDE,2,KNN,0.6667,0.6405
CNS,ShortDE,2,NB,0.5667,0.5194
CNS,ShortDE,2,DT,0.6333,0.5759
CNS,ShortDE,2,RF,0.6667,0.5373
CNS,ShortDE_HC,0,SVM,0.6167,0.5400
CNS,ShortDE_HC,0,KNN,0.6667,0.6505
CNS,ShortDE_HC,0,NB,0.6500,0.6239
CNS,ShortDE_HC,0,DT,0.6333,0.6030
CNS,ShortDE_HC,0,RF,0.6000,0.4426
CNS,ShortDE_HC,1,SVM,0.7167,0.6953
CNS,ShortDE_HC,1,KNN,0.6000,0.5692
CNS,ShortDE_HC,1,NB,0.6333,0.5888
CNS,ShortDE_HC,1,DT,0.5667,0.5360
CNS,ShortDE_HC,1,RF,0.5667,0.4706
CNS,ShortDE_HC,2,SVM,0.6833,0.6473
CNS,ShortDE_HC,2,KNN,0.6500,0.6216
CNS,ShortDE_HC,2,NB,0.5667,0.5194
CNS,ShortDE_HC,2,DT,0.6333,0.5759
CNS,ShortDE_HC,2,RF,0.6333,0.5123
CNS,FilterHC,0,SVM,0.6333,0.5739
CNS,FilterHC,0,KNN,0.7167,0.6993
CNS,FilterHC,0,NB,0.6500,0.6125
CNS,FilterHC,0,DT,0.6500,0.6149
CNS,FilterHC,0,RF,0.5833,0.4651
CNS,FilterHC,1,SVM,0.6500,0.5873
CNS,FilterHC,1,KNN,0.5667,0.5491
CNS,FilterHC,1,NB,0.5833,0.5415
CNS,FilterHC,1,DT,0.6667,0.6320
CNS,FilterHC,1,RF,0.5833,0.4525
CNS,FilterHC,2,SVM,0.7333,0.6887
CNS,FilterHC,2,KNN,0.5833,0.5664
CNS,FilterHC,2,NB,0.6000,0.5367
CNS,FilterHC,2,DT,0.5833,0.5657
CNS,FilterHC,2,RF,0.6667,0.5706
Lung,NoSelection,0,SVM,0.9506,0.8581
Lung,NoSelection,0,KNN,0.8916,0.6745
Lung,NoSelection,0,NB,0.9010,0.7655
Lung,NoSelection,0,DT,0.8466,0.6847
Lung,NoSelection,0,RF,0.9063,0.7110
Lung,NoSelection,1,SVM,0.9362,0.8124
Lung,NoSelection,1,KNN,0.9015,0.6948
Lung,NoSelection,1,NB,0.8967,0.7204
Lung,NoSelection,1,DT,0.8521,0.6936
Lung,NoSelection,1,RF,0.9163,0.7170
Lung,NoSelection,2,SVM,0.9406,0.8445
